id,exercise,sets,reps,desc
1A,Pushups (Warmup),2,10-12,
1B,Triceps Push Down,2,10-12,
2A,Barbell Bench Press,3,10-12,
2B,Lying Skull Crushers,3,10-12,Lay on the bench. Go slightly over the head and touch the ground. Pause and repeat 
3A,Incline DB Press,3,10-12,
3B,Seated Overhead Barbell Extension,3,10-12,Take the elbows in and forward
4A,Pushups,3,10-12,
4B,Dips,3,10-12,
5A,ABS - Reverse Crunch,3,10-12,
5B,ABS - Machine ABS,3,10-12,
5C,ABS - Wood Chopper,3,10-12,
5D,ABS - Planks,3,30 - 45 sec,
