id,exercise,sets,reps,desc
1,Pull Ups (warmup),2,10-12,
2,Straight arm lat pulls,2-3,8-10,Starting position parallet to the ground. Pull and slightly go up for better stretch.
3A,Close Grip Lat Pulldown,4,6-8,
3B,Incline DB Curls,4,6-8,Hold the DB from the end and supenate.
4A,Lat Pulldowns,4,6-8,
4B,Spider Curls,4,10-12,
5A,Bent over barbell rows,4,6-8,Bent till parallel to the ground. Touch the bar to ground. Lift up till belly button and slightly move up.
5B,DB hammer curls,4,10-12,
6A,T-Bar Rows,4,6-8,
6B,Reverse Bar Curl,4,6-8,
7,CARDIO - Treadmill,30 min,12 incl | 3 speed,
