id,exercise,sets,reps,desc
1,Body weight squats (Warmup),2-3,12-15,
2,BB Squats,5,12-10-8-8-6,
3,Leg extensions or Belt Squats,5,12-10-8-8-6,
4,Leg Curls,5,12-10-8-8-6,
5,Stiffed Leg Dead lift,5,12-10-8-8-6,Slightly bend the knee. Take the glutes back and go down as far as there is tension in the hamstrings
6,Standing Calf Raise,5,12-10-8-8-6,
7,Cuff Rotations (Warmup),2-3,8-10,
8,Shoulder Press,5,12-10-8-8-6,
9,Seated Lateral Raise,5,12-10-8-8-6,
10,Front Raise,5,12-10-8-8-6,
11,BB Shrugs,5,12-10-8-8-6,
12,CARDIO - Elliptical,30 min,'',
